"indice_tiempo","area_protegida","residencia","visitas"
2003-12-01,"Punta Loma","Residentes",578
2003-12-01,"Punta Tombo","No residentes",4855
2003-12-01,"Punta Tombo","Residentes",2529
2003-12-01,"Cabo Dos Bahías","No residentes",208
2003-12-01,"Cabo Dos Bahías","Residentes",571
2004-01-01,"Bosque Petrificado Sarmiento","No residentes",232
2004-01-01,"Bosque Petrificado Sarmiento","Residentes",1216
2004-01-01,"Península Valdés","No residentes",6875
2004-01-01,"Península Valdés","Residentes",34539
2004-01-01,"Punta Loma","No residentes",1494
2004-01-01,"Punta Loma","Residentes",6013
2004-01-01,"Punta Tombo","No residentes",4531
2004-01-01,"Punta Tombo","Residentes",6428
2004-01-01,"Cabo Dos Bahías","No residentes",172
2004-01-01,"Cabo Dos Bahías","Residentes",2605
2004-02-01,"Bosque Petrificado Sarmiento","No residentes",300
2004-02-01,"Bosque Petrificado Sarmiento","Residentes",791
2004-02-01,"Península Valdés","No residentes",7407
2004-02-01,"Península Valdés","Residentes",20873
2004-02-01,"Punta Loma","No residentes",1995
2004-02-01,"Punta Loma","Residentes",4533
2004-02-01,"Punta Tombo","No residentes",4849
2004-02-01,"Punta Tombo","Residentes",4278
2004-02-01,"Cabo Dos Bahías","No residentes",203
2004-02-01,"Cabo Dos Bahías","Residentes",1605
2004-03-01,"Bosque Petrificado Sarmiento","No residentes",122
2004-03-01,"Bosque Petrificado Sarmiento","Residentes",507
2004-03-01,"Península Valdés","No residentes",5941
2004-03-01,"Península Valdés","Residentes",6042
2004-03-01,"Punta Loma","No residentes",790
2004-03-01,"Punta Loma","Residentes",1620
2004-03-01,"Punta Tombo","No residentes",3019
2004-03-01,"Punta Tombo","Residentes",1744
2004-03-01,"Cabo Dos Bahías","No residentes",52
2004-03-01,"Cabo Dos Bahías","Residentes",774
2004-04-01,"Bosque Petrificado Sarmiento","No residentes",47
2004-04-01,"Bosque Petrificado Sarmiento","Residentes",450
2004-04-01,"Península Valdés","No residentes",1758
2004-04-01,"Península Valdés","Residentes",5453
2004-04-01,"Punta Loma","No residentes",267
2004-04-01,"Punta Loma","Residentes",1267
2004-04-01,"Punta Tombo","No residentes",730
2004-04-01,"Punta Tombo","Residentes",1017
2004-04-01,"Cabo Dos Bahías","No residentes",15
2004-04-01,"Cabo Dos Bahías","Residentes",244
2004-05-01,"Bosque Petrificado Sarmiento","No residentes",8
2004-05-01,"Bosque Petrificado Sarmiento","Residentes",146
2004-05-01,"Península Valdés","No residentes",392
2004-05-01,"Península Valdés","Residentes",1566
2004-05-01,"Punta Loma","No residentes",63
2004-05-01,"Punta Loma","Residentes",564
2004-05-01,"Punta Tombo","No residentes",NA
2004-05-01,"Punta Tombo","Residentes",NA
2004-05-01,"Cabo Dos Bahías","No residentes",NA
2004-05-01,"Cabo Dos Bahías","Residentes",NA
2004-06-01,"Bosque Petrificado Sarmiento","No residentes",11
2004-06-01,"Bosque Petrificado Sarmiento","Residentes",82
2004-06-01,"Península Valdés","No residentes",425
2004-06-01,"Península Valdés","Residentes",1395
2004-06-01,"Punta Loma","No residentes",21
2004-06-01,"Punta Loma","Residentes",363
2004-06-01,"Punta Tombo","No residentes",NA
2004-06-01,"Punta Tombo","Residentes",NA
2004-06-01,"Cabo Dos Bahías","No residentes",NA
2004-06-01,"Cabo Dos Bahías","Residentes",NA
2004-07-01,"Bosque Petrificado Sarmiento","No residentes",6
2004-07-01,"Bosque Petrificado Sarmiento","Residentes",90
2004-07-01,"Península Valdés","No residentes",1235
2004-07-01,"Península Valdés","Residentes",12855
2004-07-01,"Punta Loma","No residentes",74
2004-07-01,"Punta Loma","Residentes",3064
2004-07-01,"Punta Tombo","No residentes",NA
2004-07-01,"Punta Tombo","Residentes",NA
2004-07-01,"Cabo Dos Bahías","No residentes",NA
2004-07-01,"Cabo Dos Bahías","Residentes",NA
2004-08-01,"Bosque Petrificado Sarmiento","No residentes",17
2004-08-01,"Bosque Petrificado Sarmiento","Residentes",218
2004-08-01,"Península Valdés","No residentes",2537
2004-08-01,"Península Valdés","Residentes",9042
2004-08-01,"Punta Loma","No residentes",521
2004-08-01,"Punta Loma","Residentes",2061
2004-08-01,"Punta Tombo","No residentes",NA
2004-08-01,"Punta Tombo","Residentes",NA
2004-08-01,"Cabo Dos Bahías","No residentes",NA
2004-08-01,"Cabo Dos Bahías","Residentes",NA
2004-09-01,"Bosque Petrificado Sarmiento","No residentes",25
